SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
306;Rokot/Briz KM;Khrunichev;https://en.wikipedia.org/wiki/Rokot;Retired;;2.14;3;0;29.0 m;$41.8 million;0.0;;
307;Rokot-M/Briz KM-2;Khrunichev;https://en.wikipedia.org/wiki/Rokot;Planned;;2.14;3;0;29.0 m;$41.8 million;0.0;;
308;Safir-1;ISA;https://en.wikipedia.org/wiki/Safir_(rocket);Retired;284;0.027;2;0;26.0 m;;0.0;;
309;Safir-1A;ISA;https://en.wikipedia.org/wiki/Safir_(rocket);Retired;314;0.015;2;0;26.0 m;;0.0;;
310;Safir-1B;ISA;https://en.wikipedia.org/wiki/Safir_(rocket);Retired;314;0.05;2;0;26.0 m;;0.0;;
311;Safir-1B+;ISA;https://en.wikipedia.org/wiki/Safir_(rocket);Active;337;0.05;2;0;26.0 m;;0.0;;
312;SARGE;Exos;https://en.wikipedia.org/wiki/Exos_Aerospace#SARGE;Active;;0.0;1;0;11.0 m;;0.0;0.51 m;0.91 m
313;Saturn I;NASA;https://en.wikipedia.org/wiki/Saturn_I;Retired;6,700;9.07;2;0;55.0 m;;0.0;;
314;Saturn IB;NASA;https://en.wikipedia.org/wiki/Saturn_IB;Retired;7,100;21.0;2;0;43.2 m;;0.0;;
315;Saturn V;NASA;https://en.wikipedia.org/wiki/Saturn_V;Retired;35,100;140.0;3;0;110.6 m;$1,160.0 million;0.0;;
316;Scout B;Vought;https://en.wikipedia.org/wiki/Scout_(rocket_family);Retired;622;0.143;4;0;21.0 m;;0.0;;
317;Scout B1;Vought;https://en.wikipedia.org/wiki/Scout_(rocket_family);Retired;622;0.129;4;0;21.0 m;;0.0;;
318;Scout D1;Vought;https://en.wikipedia.org/wiki/Scout_(rocket_family);Retired;622;0.185;4;0;21.0 m;;0.0;;
319;Scout F1;Vought;https://en.wikipedia.org/wiki/Scout_(rocket_family);Retired;622;0.193;4;0;21.0 m;;0.0;;
320;Scout G1;Vought;https://en.wikipedia.org/wiki/Scout_(rocket_family);Retired;622;0.21;4;0;21.0 m;;0.0;;
321;Scout X-1;NASA;https://en.wikipedia.org/wiki/Scout_X-1;Retired;;0.0;4;;25.0 m;;0.0;;
322;Scout X-2;NASA;https://en.wikipedia.org/wiki/Scout_X-2;Retired;440;0.076;4;;25.0 m;;0.0;;
323;Scout X-2B;NASA;https://en.wikipedia.org/wiki/Scout_X-2B;Retired;;0.0;4;;22.0 m;;0.0;;
324;Scout X-2M;NASA;https://en.wikipedia.org/wiki/Scout_X-2M;Retired;440;0.0;4;;22.0 m;;0.0;;
325;Scout X-3;NASA;;Retired;;0.087;;;;;0.0;;
326;Scout X-3M;NASA;;Retired;;0.0;4;;22.0 m;;0.0;;
327;Scout X-4;NASA;;Retired;;0.103;4;;25.0 m;;0.0;;
328;Shavit;IAI;https://en.wikipedia.org/wiki/Shavit;Retired;413;0.16;3;0;18.0 m;;0.0;1.3 m;4.37 m
329;Shavit-1;IAI;https://en.wikipedia.org/wiki/Shavit;Retired;554;0.225;3;0;20.0 m;;0.0;1.35 m;4.37 m
330;Shavit-2;IAI;https://en.wikipedia.org/wiki/Shavit;Active;554;0.35;3;0;22.0 m;;0.0;1.35 m;4.37 m
331;Shtil';Makeyev;https://en.wikipedia.org/wiki/Shtil%27;Retired;;0.1;3;0;15.0 m;;0.0;;
332;Simorgh;ISA;https://en.wikipedia.org/wiki/Simorgh_(rocket);Active;1,300;0.35;2;0;27.0 m;;0.0;;
333;SLS Block 1;NASA;https://en.wikipedia.org/wiki/Space_Launch_System;Planned;39,440;95.0;2;2;98.1 m;$1,500.0 million;0.0;5.1 m;14.3 m
334;SLV-3;ISRO;https://en.wikipedia.org/wiki/Satellite_Launch_Vehicle;Retired;503;0.04;4;0;22.0 m;;0.0;1.0 m;
335;SM-65B Atlas;US Air Force;https://en.wikipedia.org/wiki/SM-65B_Atlas;Retired;;0.07;2;0;26.0 m;;0.0;;
336;Soyuz;OKB-1;https://en.wikipedia.org/wiki/Soyuz_(rocket);Retired;994;6.45;2;4;45.6 m;;0.0;;
337;Soyuz 2.1a;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;7.02;3;4;;$48.5 million;0.0;3.7 m;7.7 m
338;Soyuz 2.1a/Fregat;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;0.0;4;4;42.5 m;$48.5 million;2.81;3.7 m;7.7 m
339;Soyuz 2.1a/Fregat-M;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1a;Active;4,150;0.0;4;4;42.5 m;$48.5 million;2.81;3.7 m;7.7 m
340;Soyuz 2.1a/Volga;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;0.0;4;4;;;0.0;3.7 m;7.7 m
341;Soyuz 2.1b;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;8.02;3;4;;$35.0 million;0.0;3.7 m;7.7 m
342;Soyuz 2.1b/Fregat;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;0.0;4;4;42.5 m;$48.5 million;3.25;3.7 m;7.7 m
343;Soyuz 2.1b/Fregat-M;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;0.0;4;4;42.5 m;;3.25;3.7 m;7.7 m
344;Soyuz 2.1v;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2-1v;Active;;2.85;3;0;;;0.0;3.7 m;7.7 m
345;Soyuz 2.1v/Volga;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2-1v;Active;;2.85;4;0;;;0.0;3.7 m;7.7 m
346;Soyuz 5;RKK Energiya;https://en.wikipedia.org/wiki/Irtysh_(rocket);Planned;7,257;17.0;2;0;61.9 m;;5.0;4.1 m;
347;Soyuz 5/Fregat SBU;RKK Energiya;https://en.wikipedia.org/wiki/Irtysh_(rocket);Planned;7,257;17.0;3;0;61.9 m;;5.0;4.1 m;
348;Soyuz 6;Roscosmos;;Planned;;9.0;;0;;;0.0;;
